name,code,status
CAHYA MATA CEMENT SDN BHD,CMS,Active
AMANAH IKHTIAR MALAYSIA,AIM,Active
ASP MEDICAL,ASP MEDICAL,Active
CENTRE FOR TECHNOLOGY EXCELLENT,CENTEX,Active
HEMISHERE CORPORATION SDN BHD,HEMISPHERE CORP,Active
AIA,AIA,Active
COMPUMED SDN BHD,COMPUMED SDN BHD,Active
EMAS,EMAS,Active
GREAT EASTERN,GREAT EASTERN,Active
HEALTH CONNECT,HEALTH CONNECT,Active
HORNBILLS SKYWAYS,HORNBILL SKYWAY,Active
IKM BINTULU,IKM BINTULU,Active
IKM KUCHING,IKM KUCHING,Active
IOT MANAGEMENT SDN BHD,IOT MANAGEMENT,Active
JURUDAYA CONSTRUCTION SDN BHD,JURUDAYA CONS,Active
KOMPLEKS KEBAJIKAN LAILA TAIB,PERYATIM,Active
KOPERKASA,KOPERKASA,Active
LCDA HOLDINGS SDN BHD,LCDA HOLDINGS,Active
LEMBAGA AIR KUCHING,LEMBAGA AIR,Inactive
LEMBAGA AMANAH KEBAJIKAN MASJID SARAWAK,LAKMS,Active
LEMBAGA SUMBER ASLI DAN ALAM SEKITAR,LSSAS,Active
LEMBAGA SUNGAI SUNGAI SARAWAK (HQ),LSSS (HQ),Active
LEMBAGA SUNGAI SUNGAI SARAWAK (WILAYAH),LSSS (WILAYAH),Active
LIMAR MANAGEMENT SERVICES SDN BHD,LIMAR,Active
MAGNA FOCUS SDN BHD,MAGNA FOCUS,Active
MAKTAB RENDAH SAINS MARA BETONG,MRSM BETONG,Active
MAKTAB RENDAH SAINS MARA KUCHING,MRSM KUCHING,Active
MARA NEGERI SARAWAK,MARA SARAWAK,Active
MEDKAD SDN BHD,MEDKAD SDN BHD,Active
MEDNEFITS,MEDNEFITS,Active
METRONIC ICARES,METRONIC ICARES,Active
ORICON SDN BHD,ORICON SDN BHD,Active
PERBADANAN PERUSAHAAN KAYU SARAWAK,PUSAKA,Active
PERBADANAN SUKAN SARAWAK,PERBADANAN SUKAN,Active
PETRA JAYA PROPERTIES SDN BHD,PETRA JAYA PROP,Active
SAINS SDN BHD,SAINS SDN BHD,Active
SANJUNG ETIKA SDN BHD,SANJUNG ETIKA,Active
SARA GEMILANG SDN BHD,SARA GEMILANG,Active
SARAWAK RESEARCH AND DEVELOPMENT CORP,SRDC,Active
SARAWAK ECONOMIC DEVELOPMENT CORP,SEDC,Active
SARAWAKIANA RETA SDN BHD,SARAWAKIANA RETA,Active
SEDIDIK SDN BHD,SEDIDIK,Active
SENARY SYNERGY SDN BHD,SENARY SYNERGY,Active
TUN JUGAH MANAGEMENT CORPORATION,TUN JUGAH MGMT,Active
UNIVERSITI MALAYSIA SARAWAK,UNIMAS,Active
YAYASAN KEMAJUAN INSAN,YAKIN,Active
YAYASAN KEMAJUAN INSAN (STUDENT),YAKIN (STUDENT),Active
YAYASAN SARAWAK,YAYASAN SARAWAK,Active
PMCARE,PMCARE,Active
KLINIK BUSTARI,KLINIK BUSTARI,Inactive
KEBAJIKAN ANAK ANAK YATIM,ANAK YATIM,Active
PANGGAU DAYAK SDN BHD,PANGGAU DAYAK,Active
BORNEO PLANT TECHNOLOGY SDN BHD,BORNEO PLANT,Active
SENIOR CITIZEN HEALTH BENEFIT,SCHB,Active
KELAB GOLF SARAWAK,KGS,Active
MARA KUALA LUMPUR,MARA KL,Active
HARWOOD TIMBER SDN BHD,HAEWOOD,Active
HEALTH METRICS,HEALTH METRICS,Active
CAHYA MATA CEMENT SDN BHD (CONCRETE),CMC,Active
TANCAH SDN BHD,TANCAH SB,Active
SOCOE,SOCOE,Active
I-CATS UNIVERSITY COLLEGE SARAWAK,I-CATS,Active
MAJLIS SUKAN NEGERI SARAWAK,MSNS,Active
KOLEJ PROFESIONAL MARA JOHOR,KP MARA JOHOR,Active
SARAWAK WATER SDN BHD,SWK WATER S/B,Active
IKM LUMUT,IKM LUMUT,Active
EPC SYNERGY SDN BHD,EPC SYNERGY,Active
LCDA PENGURUSAN HARTA PELITA,LCDA PHP,Active
MAKTAB RENDAH SAINS JOHOR,MRSM JOHOR,Active
SMFC CONSORTIUM SDN BHD,SMFC CONSORTIUM,Active
SENARY SYNERGY PORT SDN BHD,SENARY SYN PORT,Active
